gene_name	ensembl_transcript	refseq_transcript
TIMD4	ENST00000274532	NM_138379.3
MED7	ENST00000286317	NM_004270.5
GARIN3	ENST00000302938	NM_130899.3
CSNK1G3	ENST00000696905	NM_001364140.2
ITK	ENST00000422843	NM_005546.4
THOC3	ENST00000265097	NM_032361.4
SIMC1	ENST00000429602	NM_001308195.2
KIAA1191	ENST00000298569	NM_020444.5
ARL10	ENST00000310389	NM_173664.6
NOP16	ENST00000614830	NM_016391.8
HIGD2A	ENST00000274787	NM_138820.4
CLTB	ENST00000310418	NM_007097.5
FAF2	ENST00000261942	NM_014613.3
UNC5A	ENST00000329542	NM_133369.3
HK3	ENST00000292432	NM_002115.3
UIMC1	ENST00000511320	NM_001199298.2
ZNF346	ENST00000358149	NM_012279.4
TMED9	ENST00000332598	NM_017510.6
B4GALT7	ENST00000029410	NM_007255.3
PROP1	ENST00000308304	NM_006261.5
N4BP3	ENST00000274605	NM_015111.2
RMND5B	ENST00000313386	NM_022762.5
GMCL2	ENST00000463439	NM_001358008.2
HNRNPAB	ENST00000358344	NM_031266.3
PHYKPL	ENST00000308158	NM_153373.4
OTULIN	ENST00000284274	NM_138348.6
NHP2	ENST00000274606	NM_017838.4
HAVCR2	ENST00000307851	NM_032782.5
PIK3R1	ENST00000521381	NM_181523.3
CPLX2	ENST00000393745	NM_001008220.2
PWWP2A	ENST00000307063	NM_001130864.2
PTCD2	ENST00000380639	NM_024754.5
ZNF366	ENST00000318442	NM_152625.3
GPX3	ENST00000388825	NM_002084.5
TNIP1	ENST00000521591	NM_006058.5
CCDC69	ENST00000355417	NM_015621.3
GM2A	ENST00000357164	NM_000405.5
SLC36A3	ENST00000335230	NM_181774.4
SLC36A2	ENST00000335244	NM_181776.3
PDLIM7	ENST00000355841	NM_005451.5
RAD1	ENST00000382038	NM_002853.4
BRIX1	ENST00000336767	NM_018321.4
CENPH	ENST00000283006	NM_022909.4
MRPS36	ENST00000256441	NM_033281.6
GCNT4	ENST00000652361	NM_001366737.1
ANKRD31	ENST00000506364	NM_001372053.1
POC5	ENST00000428202	NM_001099271.2
SV2C	ENST00000502798	NM_014979.4
IQGAP2	ENST00000274364	NM_006633.5
S100Z	ENST00000317593	NM_130772.4
CRHBP	ENST00000274368	NM_001882.4
AGGF1	ENST00000312916	NM_018046.5
ZBED3	ENST00000255198	NM_032367.4
PDE8B	ENST00000264917	NM_003719.5
WDR41	ENST00000296679	NM_018268.4
OTP	ENST00000306422	NM_032109.3
TBCA	ENST00000380377	NM_004607.3
SPINK5	ENST00000256084	NM_006846.4
SMIM33	ENST00000637503	NM_001365197.1
STING1	ENST00000330794	NM_198282.4
CXXC5	ENST00000302517	NM_016463.9
UBE2D2	ENST00000398733	NM_003339.3
MRPS27	ENST00000261413	NM_015084.3
FAM81B	ENST00000283357	NM_152548.3
ARSK	ENST00000380009	NM_198150.3
GPR150	ENST00000380007	NM_199243.3
OTULINL	ENST00000274217	NM_019018.3
DDX4	ENST00000505374	NM_024415.3
IL31RA	ENST00000652347	NM_139017.7
IL6ST	ENST00000381298	NM_002184.4
AGXT2	ENST00000231420	NM_031900.4
DNAJC21	ENST00000648817	NM_001012339.3
ZNF474	ENST00000296600	NM_207317.3
ENSG00000250803	ENST00000509403	NM_001195535.4
MACIR	ENST00000319933	NM_033211.4
PPIP5K2	ENST00000358359	NM_001276277.3
CATSPER3	ENST00000282611	NM_178019.3
PITX1	ENST00000265340	NM_002653.5
SLC25A48	ENST00000681962	NM_001349336.2
NEUROG1	ENST00000314744	NM_006161.3
CXCL14	ENST00000512158	NM_004887.5
SLC6A7	ENST00000230671	NM_014228.5
CAMK2A	ENST00000671881	NM_015981.4
CYFIP2	ENST00000620254	NM_001037333.3
ZNF454	ENST00000519564	NM_001178089.3
GRM6	ENST00000517717	NM_000843.4
ZNF879	ENST00000444149	NM_001136116.3
ZNF354C	ENST00000315475	NM_014594.3
ADAMTS2	ENST00000251582	NM_014244.5
FAM193B	ENST00000514747	NM_001190946.3
ERBIN	ENST00000284037	NM_001253697.2
SREK1	ENST00000334121	NM_001077199.3
KIF2A	ENST00000407818	NM_001098511.3
HAVCR1	ENST00000523175	NM_001173393.3
TTC23L	ENST00000505624	NM_144725.4
SKIC3	ENST00000358746	NM_014639.4
POU5F2	ENST00000606183	NM_153216.2
NR2F1	ENST00000327111	NM_005654.6
ZNF354A	ENST00000335815	NM_005649.3
ZNF354B	ENST00000322434	NM_058230.3
AMACR	ENST00000335606	NM_014324.6
ANXA6	ENST00000354546	NM_001155.5
SLC6A19	ENST00000304460	NM_001003841.3
SLC6A18	ENST00000324642	NM_182632.3
TERT	ENST00000310581	NM_198253.3
CLPTM1L	ENST00000320895	NM_030782.5
SLC6A3	ENST00000270349	NM_001044.5
LPCAT1	ENST00000283415	NM_024830.5
SERF1A	ENST00000317633	NM_022968.2
SMN1	ENST00000380707	NM_000344.4
NAIP	ENST00000517649	NM_004536.3
GTF2H2	ENST00000274400	NM_001515.4
ZCCHC9	ENST00000407610	NM_001131035.2
ACOT12	ENST00000307624	NM_130767.3
SSBP2	ENST00000615665	NM_001256732.3
SKP1	ENST00000353411	NM_170679.3
PPP2CA	ENST00000481195	NM_002715.4
ZDHHC11B	ENST00000508859	NM_001351303.2
SCGB3A1	ENST00000292641	NM_052863.3
FLT4	ENST00000261937	NM_182925.5
SLF1	ENST00000265140	NM_032290.4
KIAA0825	ENST00000682413	NM_001145678.3
MACROH2A1	ENST00000511689	NM_138610.3
TRIO	ENST00000344204	NM_007118.4
HNRNPA0	ENST00000314940	NM_006805.4
ATPSCKMT	ENST00000511437	NM_199133.4
CCT5	ENST00000280326	NM_012073.5
CMBL	ENST00000296658	NM_138809.4
ROPN1L	ENST00000274134	NM_031916.5
C5orf15	ENST00000231512	NM_020199.3
VDAC1	ENST00000265333	NM_003374.3
TCF7	ENST00000342854	NM_003202.5
TSSK1B	ENST00000390666	NM_032028.4
YTHDC2	ENST00000161863	NM_022828.5
MCC	ENST00000408903	NM_001085377.2
RGMB	ENST00000513185	NM_001366508.1
CHD1	ENST00000614616	NM_001270.4
CSNK1A1	ENST00000377843	NM_001892.6
DAP	ENST00000230895	NM_004394.3
CTNND2	ENST00000304623	NM_001332.4
GFRA3	ENST00000274721	NM_001496.4
HBEGF	ENST00000230990	NM_001945.3
SPARC	ENST00000231061	NM_003118.4
C6	ENST00000337836	NM_000065.5
C7	ENST00000313164	NM_000587.4
FBN2	ENST00000262464	NM_001999.4
GRIA1	ENST00000285900	NM_000827.4
SPINK7	ENST00000274565	NM_032566.3
SPINK9	ENST00000377906	NM_001040433.2
FBXO38	ENST00000340253	NM_205836.3
HTR4	ENST00000377888	NM_000870.7
C5orf58	ENST00000593851	NM_001102609.3
CCDC192	ENST00000514853	NM_001317938.2
KCNN2	ENST00000673685	NM_021614.4
POLK	ENST00000241436	NM_016218.6
RFESD	ENST00000380005	NM_001131066.2
SPATA9	ENST00000274432	NM_031952.4
RHOBTB3	ENST00000379982	NM_014899.4
GLRX	ENST00000237858	NM_001118890.2
MEF2C	ENST00000504921	NM_002397.5
TCERG1	ENST00000679501	NM_001382548.1
H3Y2	ENST00000600799	NM_001371919.1
H3Y1	ENST00000598383	NM_001355258.2
SPOCK1	ENST00000394945	NM_004598.4
KLHL3	ENST00000309755	NM_017415.3
PCDHA4	ENST00000530339	NM_018907.4
MARCHF6	ENST00000274140	NM_005885.4
ANKRD33B	ENST00000296657	NM_001164440.2
SLIT3	ENST00000519560	NM_003062.4
SMIM23	ENST00000523047	NM_001289970.2
SELENOP	ENST00000514985	NM_005410.4
APC	ENST00000257430	NM_000038.6
ERAP2	ENST00000437043	NM_022350.5
LNPEP	ENST00000231368	NM_005575.3
LIX1	ENST00000274382	NM_153234.5
HNRNPH1	ENST00000393432	NM_001257293.2
MAML1	ENST00000292599	NM_014757.5
LTC4S	ENST00000292596	NM_145867.2
MGAT4B	ENST00000292591	NM_014275.5
SQSTM1	ENST00000389805	NM_003900.5
MRNIP	ENST00000292586	NM_016175.4
EBF1	ENST00000313708	NM_024007.5
KCNIP1	ENST00000328939	NM_014592.4
GABRP	ENST00000265294	NM_014211.3
PLCXD3	ENST00000377801	NM_001005473.3
ENC1	ENST00000302351	NM_003633.4
HEXB	ENST00000261416	NM_000521.4
TENT2	ENST00000453514	NM_001114394.3
MTX3	ENST00000512528	NM_001363818.2
THBS4	ENST00000350881	NM_003248.6
FSTL4	ENST00000265342	NM_015082.2
KDM3B	ENST00000314358	NM_016604.4
ETF1	ENST00000360541	NM_004730.4
SH3RF2	ENST00000359120	NM_152550.4
PLAC8L1	ENST00000311450	NM_001029869.3
LARS1	ENST00000394434	NM_020117.11
RBM27	ENST00000265271	NM_018989.2
ABLIM3	ENST00000309868	NM_014945.5
AFAP1L1	ENST00000296721	NM_152406.4
GRPEL2	ENST00000329271	NM_152407.4
PCYOX1L	ENST00000274569	NM_024028.4
IL17B	ENST00000261796	NM_014443.3
MYOZ3	ENST00000517768	NM_001122853.3
RBM22	ENST00000199814	NM_018047.3
DCTN4	ENST00000447998	NM_016221.4
SMIM3	ENST00000526627	NM_032947.5
IRGM	ENST00000522154	NM_001145805.2
ZNF300	ENST00000274599	NM_052860.4
SLC36A1	ENST00000243389	NM_078483.4
FAT2	ENST00000261800	NM_001447.3
CCNG1	ENST00000340828	NM_004060.4
RNF145	ENST00000424310	NM_001199383.2
PRDM9	ENST00000296682	NM_020227.4
FAM153A	ENST00000697116	NM_001413826.1
MSANTD5	ENST00000648368	NM_001395436.2
WWC1	ENST00000265293	NM_015238.3
RARS1	ENST00000231572	NM_002887.4
FBLL1	ENST00000338333	NM_001355274.2
PANK3	ENST00000239231	NM_024594.4
OSMR	ENST00000274276	NM_003999.3
RICTOR	ENST00000357387	NM_152756.5
NSD1	ENST00000439151	NM_022455.5
SRD5A1	ENST00000274192	NM_001047.4
SERF1B	ENST00000380750	NM_022978.3
SMN2	ENST00000380743	NM_017411.4
PDE4D	ENST00000340635	NM_001104631.2
DEPDC1B	ENST00000265036	NM_018369.3
TGFBI	ENST00000442011	NM_000358.3
SMAD5	ENST00000545279	NM_005903.7
SMIM32	ENST00000607574	NM_001350994.2
CCNH	ENST00000256897	NM_001239.4
PARP8	ENST00000281631	NM_024615.4
OR4F3	ENST00000456475	NM_001408386.1
PCDHB8	ENST00000239444	NM_019120.5
TAF11L5	ENST00000638483	NM_001401699.1
TAF11L3	ENST00000638668	NM_001401700.1
TAF11L7	ENST00000640846	NM_001401679.1
TAF11L8	ENST00000640803	NM_001401681.1
TAF11L13	ENST00000639073	NM_001401695.1
TAF11L4	ENST00000638408	NM_001401697.1
TAF11L6	ENST00000640558	NM_001401698.1
TAF11L10	ENST00000638842	NM_001401685.1
TAF11L9	ENST00000639969	NM_001401693.1
TAF11L2	ENST00000639081	NM_001401696.1
TAF11L14	ENST00000512227	NM_001401687.1
GMDS	ENST00000380815	NM_001500.4
EXOC2	ENST00000230449	NM_018303.6
FAM50B	ENST00000648326	NM_012135.3
EEF1E1	ENST00000379715	NM_004280.5
BLOC1S5	ENST00000397457	NM_201280.3
TMEM170B	ENST00000379426	NM_001100829.3
KDM1B	ENST00000650836	NM_001364614.2
BMP6	ENST00000283147	NM_001718.6
TXNDC5	ENST00000379757	NM_030810.5
HDGFL1	ENST00000510882	NM_138574.4
FOXQ1	ENST00000296839	NM_033260.4
RNF182	ENST00000488300	NM_152737.4
RPP40	ENST00000380051	NM_006638.4
DEK	ENST00000652689	NM_003472.4
STMND1	ENST00000536551	NM_001190766.2
HIVEP1	ENST00000379388	NM_002114.4
GFOD1	ENST00000379287	NM_018988.4
NRSN1	ENST00000378491	NM_080723.5
JARID2	ENST00000341776	NM_004973.4
TRIM27	ENST00000377199	NM_006510.5
SCAND3	ENST00000452236	NM_052923.2
EDN1	ENST00000379375	NM_001955.5
GPX5	ENST00000412168	NM_001509.3
OR2B3	ENST00000377173	NM_001005226.2
RBM24	ENST00000379052	NM_001143942.2
SSR1	ENST00000244763	NM_003144.5
FOXF2	ENST00000645481	NM_001452.2
SOX4	ENST00000244745	NM_003107.3
CDKAL1	ENST00000274695	NM_017774.3
DCDC2	ENST00000378454	NM_016356.5
ID4	ENST00000378700	NM_001546.4
KIF13A	ENST00000259711	NM_022113.6
TPMT	ENST00000309983	NM_000367.5
CAGE1	ENST00000502583	NM_001170692.2
FOXC1	ENST00000645831	NM_001453.3
NHLRC1	ENST00000340650	NM_198586.3
CDYL	ENST00000397588	NM_004824.4
MOCS1	ENST00000340692	NM_001358530.2
UNC5CL	ENST00000244565	NM_173561.3
TSPO2	ENST00000373161	NM_001010873.3
MBOAT1	ENST00000324607	NM_001080480.3
MYLIP	ENST00000356840	NM_013262.4
RIOK1	ENST00000379834	NM_031480.3
KCTD20	ENST00000373731	NM_173562.5
ZNF318	ENST00000361428	NM_014345.3
DAAM2	ENST00000274867	NM_001201427.2
MMUT	ENST00000274813	NM_000255.4
TRAM2	ENST00000182527	NM_012288.4
STK38	ENST00000229812	NM_007271.4
PGK2	ENST00000304801	NM_138733.5
CD83	ENST00000379153	NM_004233.4
TBC1D22B	ENST00000373491	NM_017772.4
ELOVL5	ENST00000304434	NM_021814.5
RNF8	ENST00000373479	NM_003958.4
CENPQ	ENST00000335783	NM_018132.4
RUNX2	ENST00000647337	NM_001024630.4
TREML4	ENST00000341495	NM_198153.3
CRISP2	ENST00000339139	NM_003296.4
PKHD1	ENST00000371117	NM_138694.4
LGSN	ENST00000370657	NM_016571.3
SDHAF4	ENST00000370474	NM_145267.3
CYB5R4	ENST00000369681	NM_016230.4
ME1	ENST00000369705	NM_002395.6
PRIM2	ENST00000615550	NM_000947.5
POU3F2	ENST00000328345	NM_005604.4
PRDM1	ENST00000369096	NM_001198.4
PAQR8	ENST00000442253	NM_133367.5
GLYATL3	ENST00000371197	NM_001010904.2
CD109	ENST00000287097	NM_133493.5
KIF6	ENST00000287152	NM_145027.6
SRSF3	ENST00000373715	NM_003017.5
FILIP1	ENST00000237172	NM_015687.5
GPR63	ENST00000229955	NM_030784.4
TREM1	ENST00000244709	NM_018643.5
CYP39A1	ENST00000275016	NM_016593.5
IBTK	ENST00000306270	NM_015525.4
CD24	ENST00000606017	NM_001359084.1
CEP85L	ENST00000368491	NM_001042475.3
ENPP5	ENST00000371383	NM_001290072.2
MCHR2	ENST00000281806	NM_001040179.2
LCA5	ENST00000369846	NM_001122769.3
TSPYL4	ENST00000420283	NM_021648.5
GFRAL	ENST00000340465	NM_207410.2
TFAP2B	ENST00000393655	NM_003221.4
COL19A1	ENST00000620364	NM_001858.6
NCOA7	ENST00000392477	NM_181782.5
MTRES1	ENST00000311381	NM_016487.5
PRSS35	ENST00000369700	NM_153362.3
SMAP1	ENST00000370455	NM_001044305.3
ELOVL4	ENST00000369816	NM_022726.4
VGLL2	ENST00000326274	NM_182645.3
STX7	ENST00000367941	NM_003569.3
MTFR2	ENST00000420702	NM_001099286.3
ENPP4	ENST00000321037	NM_014936.5
NUS1	ENST00000368494	NM_138459.5
SENP6	ENST00000447266	NM_015571.4
FBXL4	ENST00000369244	NM_001278716.2
UBE2J1	ENST00000435041	NM_016021.3
ARMC2	ENST00000392644	NM_032131.6
HACE1	ENST00000262903	NM_020771.4
TENT5A	ENST00000320172	NM_017633.3
BVES	ENST00000314641	NM_001199563.2
FAM229B	ENST00000368656	NM_001033564.3
FAM184A	ENST00000338891	NM_024581.6
VTA1	ENST00000367630	NM_016485.5
NT5DC1	ENST00000319550	NM_152729.3
ADGRF1	ENST00000371253	NM_153840.4
TRMT11	ENST00000334379	NM_001031712.3
KCNK17	ENST00000373231	NM_031460.4
HBS1L	ENST00000367837	NM_006620.4
LIN28B	ENST00000345080	NM_001004317.4
FABP7	ENST00000368444	NM_001446.5
HINT3	ENST00000229633	NM_138571.5
PEX3	ENST00000367591	NM_003630.3
HSF2	ENST00000368455	NM_004506.4
TINAG	ENST00000259782	NM_014464.4
HTR1E	ENST00000305344	NM_000865.3
TBX18	ENST00000369663	NM_001080508.3
ABRACL	ENST00000367660	NM_021243.3
TREM2	ENST00000373113	NM_018965.4
HDAC2	ENST00000519065	NM_001527.4
BCLAF1	ENST00000531224	NM_014739.3
ADGRG6	ENST00000367609	NM_198569.3
FUT9	ENST00000302103	NM_006581.4
CALHM6	ENST00000368605	NM_001010919.3
BMP5	ENST00000370830	NM_021073.4
FAM83B	ENST00000306858	NM_001010872.3
COL10A1	ENST00000651968	NM_000493.4
MOXD1	ENST00000367963	NM_015529.4
ASCC3	ENST00000369162	NM_006828.4
PPP1R14C	ENST00000361131	NM_030949.3
EYS	ENST00000503581	NM_001142800.2
RFPL4B	ENST00000441065	NM_001013734.3
EFHC1	ENST00000371068	NM_018100.4
TAAR6	ENST00000275198	NM_175067.1
PLN	ENST00000357525	NM_002667.5
MAN1A1	ENST00000368468	NM_005907.4
GOPC	ENST00000368498	NM_020399.4
CDK19	ENST00000368911	NM_015076.5
LMBRD1	ENST00000649934	NM_018368.4
MARCKS	ENST00000612661	NM_002356.7
SMPDL3A	ENST00000368440	NM_006714.5
HECA	ENST00000367658	NM_016217.3
TRAPPC3L	ENST00000368602	NM_001139444.3
SLC18B1	ENST00000275227	NM_052831.3
TNFRSF21	ENST00000296861	NM_014452.5
ALDH8A1	ENST00000265605	NM_022568.4
RNGTT	ENST00000369485	NM_003800.5
OARD1	ENST00000424266	NM_001329686.2
TAAR2	ENST00000367931	NM_001033080.1
NDUFAF4	ENST00000316149	NM_014165.4
ADAT2	ENST00000237283	NM_182503.3
POPDC3	ENST00000254765	NM_022361.5
TREML2	ENST00000483722	NM_024807.4
DSE	ENST00000644252	NM_013352.4
PDSS2	ENST00000369037	NM_020381.4
TMEM242	ENST00000400788	NM_018452.6
ATG5	ENST00000369076	NM_004849.4
PERP	ENST00000421351	NM_022121.5
UST	ENST00000367463	NM_005715.3
ULBP3	ENST00000367339	NM_024518.3
HEBP2	ENST00000607197	NM_014320.3
AKAP12	ENST00000402676	NM_005100.4
RAET1L	ENST00000367341	NM_130900.3
TTK	ENST00000369798	NM_003318.5
RPS12	ENST00000230050	NM_001016.4
GJB7	ENST00000525899	NM_198568.3
CNKSR3	ENST00000607772	NM_173515.4
FOXO3	ENST00000406360	NM_001455.4
CDC40	ENST00000307731	NM_015891.3
DYNLT1	ENST00000367089	NM_006519.4
OPRM1	ENST00000330432	NM_000914.5
LAMA4	ENST00000230538	NM_001105206.3
FRK	ENST00000606080	NM_002031.3
VIP	ENST00000367244	NM_003381.4
DLL1	ENST00000366756	NM_005618.4
KLHL32	ENST00000369261	NM_052904.4
BCKDHB	ENST00000320393	NM_183050.4
IMPG1	ENST00000369950	NM_001563.4
MTRF1L	ENST00000367233	NM_019041.7
RSPO3	ENST00000356698	NM_032784.5
SH3BGRL2	ENST00000369838	NM_031469.4
ARFGEF3	ENST00000251691	NM_020340.5
FUCA2	ENST00000002165	NM_032020.5
SLC17A5	ENST00000355773	NM_012434.5
WASF1	ENST00000392589	NM_003931.3
FBXO5	ENST00000229758	NM_012177.5
PPIL4	ENST00000253329	NM_139126.4
ERMARD	ENST00000366773	NM_018341.3
ZC2HC1B	ENST00000237275	NM_001013623.3
GINM1	ENST00000367419	NM_138785.5
SAMD5	ENST00000367474	NM_001030060.3
PSMB1	ENST00000262193	NM_002793.4
SLC2A12	ENST00000275230	NM_145176.3
ULBP1	ENST00000229708	NM_025218.4
SOBP	ENST00000317357	NM_018013.4
WDR27	ENST00000448612	NM_182552.5
ZDHHC14	ENST00000359775	NM_024630.3
PDE7B	ENST00000308191	NM_018945.4
TULP4	ENST00000367097	NM_020245.5
PHF10	ENST00000339209	NM_018288.4
AIG1	ENST00000357847	NM_016108.4
KATNA1	ENST00000367411	NM_007044.4
TUBE1	ENST00000368662	NM_016262.5
LTV1	ENST00000367576	NM_032860.5
FNDC1	ENST00000297267	NM_032532.3
AFG1L	ENST00000368977	NM_145315.5
DYNLT2	ENST00000366774	NM_174910.3
UBE3D	ENST00000369747	NM_198920.3
PDCD2	ENST00000541970	NM_002598.4
BAG2	ENST00000370693	NM_004282.4
OLIG3	ENST00000367734	NM_175747.2
RAB23	ENST00000468148	NM_016277.5
LATS1	ENST00000543571	NM_004690.4
RGS17	ENST00000206262	NM_012419.5
DACT2	ENST00000366795	NM_214462.5
SLC35F1	ENST00000360388	NM_001029858.4
GJA10	ENST00000369352	NM_032602.2
FBXO30	ENST00000237281	NM_032145.5
TBPL1	ENST00000237264	NM_004865.4
TCF21	ENST00000367882	NM_003206.4
GSTA3	ENST00000211122	NM_000847.5
GSTA4	ENST00000370963	NM_001512.4
GCM1	ENST00000259803	NM_003643.4
OR2B6	ENST00000244623	NM_012367.1
UNC93A	ENST00000230256	NM_018974.4
TTLL2	ENST00000239587	NM_031949.5
HTR1B	ENST00000369947	NM_000863.3
PPP1R3G	ENST00000405617	NM_001145115.3
RIPOR2	ENST00000643898	NM_001286445.3
DCBLD1	ENST00000338728	NM_001366458.2
PHF3	ENST00000262043	NM_001370348.2
TPBG	ENST00000369750	NM_001376922.1
TSPYL1	ENST00000368608	NM_003309.4
SIM1	ENST00000369208	NM_005068.3
NUP153	ENST00000262077	NM_005124.4
GPR31	ENST00000366834	NM_005299.3
FARS2	ENST00000274680	NM_006567.5
PRDM13	ENST00000369215	NM_021620.4
DTNBP1	ENST00000344537	NM_032122.5
TFAP2D	ENST00000008391	NM_172238.4
RNF144B	ENST00000259939	NM_182757.4
PXDC1	ENST00000380283	NM_183373.4
IYD	ENST00000344419	NM_203395.3
SLC22A16	ENST00000368919	NM_033125.4
DDO	ENST00000368924	NM_001372108.2
WRNIP1	ENST00000380773	NM_020135.3
SERPINB1	ENST00000380739	NM_030666.4
SERPINB9	ENST00000380698	NM_004155.6
SERPINB6	ENST00000380539	NM_004568.6
BPHL	ENST00000380379	NM_004332.4
GPLD1	ENST00000230036	NM_001503.4
ALDH5A1	ENST00000357578	NM_001080.3
TDP2	ENST00000378198	NM_016614.3
ACOT13	ENST00000230048	NM_018473.4
TBC1D7	ENST00000379300	NM_016495.6
EPM2A	ENST00000367519	NM_005670.4
FIG4	ENST00000230124	NM_014845.6
GMPR	ENST00000259727	NM_006877.4
UBD	ENST00000377050	NM_006398.4
MOG	ENST00000376917	NM_206809.4
HLA-F	ENST00000259951	NM_001098479.2
PAK1IP1	ENST00000379568	NM_017906.3
TMEM14C	ENST00000229563	NM_016462.4
TMEM14B	ENST00000379542	NM_030969.5
MAK	ENST00000354489	NM_001242957.3
GCM2	ENST00000379491	NM_004752.4
ZFP57	ENST00000376883	NM_001109809.5
WTAP	ENST00000621533	NM_001270531.2
ACAT2	ENST00000367048	NM_005891.3
TCP1	ENST00000321394	NM_030752.3
MRPL18	ENST00000367034	NM_014161.5
PNLDC1	ENST00000392167	NM_001271862.2
RPL7L1	ENST00000493763	NM_001366481.3
C6orf226	ENST00000408925	NM_001008739.2
PTCRA	ENST00000304672	NM_138296.3
GNMT	ENST00000372808	NM_018960.6
PEX6	ENST00000304611	NM_000287.4
PPP2R5D	ENST00000485511	NM_006245.4
MEA1	ENST00000244711	NM_014623.4
RRP36	ENST00000244496	NM_033112.4
KLC4	ENST00000347162	NM_201521.3
MRPL2	ENST00000388752	NM_015950.5
PTK7	ENST00000230419	NM_002821.5
SRF	ENST00000265354	NM_003131.4
CUL9	ENST00000252050	NM_015089.4
DNPH1	ENST00000230431	NM_006443.3
KHDC1L	ENST00000370388	NM_001126063.3
DPPA5	ENST00000370370	NM_001025290.3
KHDC3L	ENST00000370367	NM_001017361.3
DDX43	ENST00000370336	NM_018665.3
KHDRBS2	ENST00000281156	NM_152688.4
GUCA1B	ENST00000230361	NM_002098.6
MRPS10	ENST00000053468	NM_018141.4
CRYBG1	ENST00000633556	NM_001371242.2
RTN4IP1	ENST00000369063	NM_032730.5
QRSL1	ENST00000369046	NM_018292.5
AMD1	ENST00000368885	NM_001634.6
GTF3C6	ENST00000329970	NM_138408.4
RPF2	ENST00000441448	NM_032194.3
TFB1M	ENST00000367166	NM_016020.4
CLDN20	ENST00000367165	NM_001001346.3
NOX3	ENST00000159060	NM_015718.3
GTF2H4	ENST00000259895	NM_001517.5
SFTA2	ENST00000359086	NM_205854.3
MUC21	ENST00000376296	NM_001010909.5
C6orf15	ENST00000259870	NM_014070.3
PSORS1C1	ENST00000259881	NM_014068.3
CDSN	ENST00000376288	NM_001264.5
PSORS1C2	ENST00000259845	NM_014069.3
VARS2	ENST00000676266	NM_020442.6
PRR18	ENST00000322583	NM_175922.4
SFT2D1	ENST00000361731	NM_145169.3
TBXT	ENST00000366876	NM_001366285.2
MRS2	ENST00000378386	NM_020662.4
BEND3	ENST00000369042	NM_001367314.1
PREP	ENST00000652536	NM_002726.5
SCAF8	ENST00000367178	NM_014892.5
CILK1	ENST00000676107	NM_014920.5
CENPW	ENST00000368328	NM_001012507.4
KCNK16	ENST00000437525	NM_001135106.2
TMEM200A	ENST00000296978	NM_001258277.2
REPS1	ENST00000450536	NM_001286611.2
FAM120B	ENST00000476287	NM_032448.3
FKBP5	ENST00000357266	NM_004117.4
HMGCLL1	ENST00000274901	NM_001042406.2
ADTRP	ENST00000414691	NM_032744.4
SMIM28	ENST00000573100	NM_001368163.3
LYRM4	ENST00000330636	NM_020408.6
NRN1	ENST00000244766	NM_016588.3
F13A1	ENST00000264870	NM_000129.4
CCDC28A	ENST00000617445	NM_015439.3
GSTA1	ENST00000334575	NM_145740.5
NCR2	ENST00000373089	NM_004828.4
SLC17A4	ENST00000377905	NM_005495.3
SLC17A1	ENST00000244527	NM_005074.5
SLC17A3	ENST00000397060	NM_001098486.2
TRIM38	ENST00000357085	NM_006355.5
H1-1	ENST00000244573	NM_005325.4
H3C1	ENST00000613854	NM_003529.3
H4C1	ENST00000617569	NM_003538.4
H3C2	ENST00000621411	NM_003537.4
H2AC4	ENST00000615868	NM_003513.3
H2BC3	ENST00000615966	NM_021062.3
H3C3	ENST00000612966	NM_003531.3
H1-2	ENST00000343677	NM_005319.4
H1-6	ENST00000338379	NM_005323.4
H1-4	ENST00000304218	NM_005321.3
H2BC6	ENST00000614097	NM_003523.3
H4C4	ENST00000614247	NM_003539.4
MICB	ENST00000252229	NM_005931.5
MCCD1	ENST00000376191	NM_001011700.3
DDX39B	ENST00000396172	NM_004640.7
LTA	ENST00000418386	NM_000595.4
LTB	ENST00000429299	NM_002341.2
LST1	ENST00000438075	NM_205839.3
NCR3	ENST00000340027	NM_147130.3
AIF1	ENST00000376059	NM_001623.5
APOM	ENST00000375916	NM_019101.3
C6orf47	ENST00000375911	NM_021184.4
GPANK1	ENST00000375896	NM_033177.4
ABHD16A	ENST00000395952	NM_021160.3
LY6G6F	ENST00000375832	NM_001003693.3
LY6G6C	ENST00000375819	NM_025261.3
MSH5	ENST00000375750	NM_172166.4
VWA7	ENST00000375688	NM_025258.3
DDAH2	ENST00000375789	NM_001303007.2
UBR2	ENST00000372901	NM_001363705.2
PRPH2	ENST00000230381	NM_000322.5
TBCC	ENST00000372876	NM_003192.3
PEX7	ENST00000318471	NM_000288.4
SLC35D3	ENST00000331858	NM_001008783.3
HLA-DMB	ENST00000418107	NM_002118.5
HLA-DMA	ENST00000374843	NM_006120.4
MRPL14	ENST00000372014	NM_032111.4
TMEM63B	ENST00000323267	NM_018426.3
CAPN11	ENST00000398776	NM_007058.4
POLR1C	ENST00000642195	NM_203290.4
YIPF3	ENST00000372422	NM_015388.4
XPO5	ENST00000265351	NM_020750.3
POLH	ENST00000372236	NM_006502.3
GTPBP2	ENST00000307126	NM_019096.5
MAD2L1BP	ENST00000372171	NM_014628.3
RSPH9	ENST00000372163	NM_152732.5
PGC	ENST00000373025	NM_002630.4
FRS3	ENST00000373018	NM_006653.5
